path1pos,path1ori,path2pos,path2ori,path3pos,path3ori,path4pos,path4ori,path5pos,path5ori,startPos,goalPos
"(0.1763,0.0927)",0,"(0.1971,0.0286)",-36,"(0.1427,-0.1391)",-108,"(0.0882,-0.1786)",-144,"(-0.0882,-0.1786)",-36,"(0.0674,0.0927)","(-0.1763,-0.2427)"
"(0.1427,-0.1391)",-108,"(0.0882,-0.1786)",-144,"(-0.0882,-0.1786)",-36,"(-0.1427,-0.1391)",-72,"(-0.1971,0.0286)",-144,"(0.1090,-0.0354)","(-0.2853,0.0927)"
"(-0.0882,-0.1786)",-36,"(-0.1427,-0.1391)",-72,"(-0.1971,0.0286)",-144,"(-0.1763,0.0927)",0,"(-0.0337,0.1964)",-72,"(0.0000,-0.1146)","(0.0000,0.3000)"
"(-0.1971,0.0286)",-144,"(-0.1763,0.0927)",0,"(-0.0337,0.1964)",-72,"(0.0337,0.1964)",-108,"(0.1763,0.0927)",0,"(-0.1090,-0.0354)","(0.2853,0.0927)"
"(-0.0337,0.1964)",-72,"(0.0337,0.1964)",-108,"(0.1763,0.0927)",0,"(0.1971,0.0286)",-36,"(0.1427,-0.1391)",-108,"(-0.0674,0.0927)","(0.1763,-0.2427)"
"(0.0337,0.1964)",-108,"(-0.0337,0.1964)",-72,"(-0.1763,0.0927)",0,"(-0.1971,0.0286)",-144,"(-0.1427,-0.1391)",-72,"(0.0674,0.0927)","(-0.1763,-0.2427)"
"(-0.1763,0.0927)",0,"(-0.1971,0.0286)",-144,"(-0.1427,-0.1391)",-72,"(-0.0882,-0.1786)",-36,"(0.0882,-0.1786)",-144,"(-0.0674,0.0927)","(0.1763,-0.2427)"
"(-0.1427,-0.1391)",-72,"(-0.0882,-0.1786)",-36,"(0.0882,-0.1786)",-144,"(0.1427,-0.1391)",-108,"(0.1971,0.0286)",-36,"(-0.1090,-0.0354)","(0.2853,0.0927)"
"(0.0882,-0.1786)",-144,"(0.1427,-0.1391)",-108,"(0.1971,0.0286)",-36,"(0.1763,0.0927)",0,"(0.0337,0.1964)",-108,"(0.0000,-0.1146)","(0.0000,0.3000)"
"(0.1971,0.0286)",-36,"(0.1763,0.0927)",0,"(0.0337,0.1964)",-108,"(-0.0337,0.1964)",-72,"(-0.1763,0.0927)",0,"(0.1090,-0.0354)","(-0.2853,0.0927)"
